date,market_close,stop_loss,buy_stop, balance
18/08/2017,293.96,219.21352135213525,298.9578197819782, 293.96
19/08/2017,290.91,219.21352135213525,295.8559645964596, 290.91
20/08/2017,299.1,219.21352135213525,304.1852085208521, 299.1
21/08/2017,323.29,234.6673487348735,328.78647964796477, 323.29
22/08/2017,309.8,234.6673487348735,315.06712671267127, 309.8
23/08/2017,315.74,234.6673487348735,321.10811681168116, 315.74
24/08/2017,323.42,234.76171217121717,328.91868986898686, 323.42
25/08/2017,327.24,237.53454545454548,332.8036363636363, 327.24
26/08/2017,330.79,240.11139313931398,336.41399239923993, 330.79
27/08/2017,348.13,252.69802380238025,354.04880188018797, 348.13
28/08/2017,346.0,252.69802380238025,351.8825882588258, 346.0
29/08/2017,374.7,271.9844584458446,381.0705370537053, 374.7
30/08/2017,385.93,280.1360076007601,392.49146614661464, 385.93
31/08/2017,384.79,280.1360076007601,391.33208420842084, 384.79
1/09/2017,388.46,281.9724652465247,395.0644804480447, 388.46
2/09/2017,343.14,281.9724652465247,348.97396339633957, 343.14
3/09/2017,341.77,281.9724652465247,347.58067106710666, 341.77
4/09/2017,283.77,281.9724652465247,288.5945724572457, 283.77
5/09/2017,312.09,281.9724652465247,317.39606060606053, 312.09
6/09/2017,335.0,281.9724652465247,340.69556955695566, 335.0
7/09/2017,334.49,281.9724652465247,340.17689868986895, 334.49
8/09/2017,302.99,281.9724652465247,308.1413451345134, 302.99
9/09/2017,296.74,281.9724652465247,301.78508450845084, 296.74
10/09/2017,293.5,281.9724652465247,298.48999899989997, 293.5
11/09/2017,297.3,281.9724652465247,302.35460546054605, 297.3
12/09/2017,293.96,281.9724652465247,298.9578197819782, 293.96
13/09/2017,276.91,201.00137813781382,281.6179407940794, 274.14090000000004
14/09/2017,215.21,156.2150395039504,218.86893589358934, 274.14090000000004
15/09/2017,253.0,183.64576457645765,218.86893589358934, 271.39949100000007
16/09/2017,249.31,183.64576457645765,253.5486938693869, 267.4411347873914
17/09/2017,257.55,186.94848484848487,261.9287878787879, 276.2803909369566
18/09/2017,294.57,213.8202880288029,299.5781908190819, 315.9926800943479
19/09/2017,284.0,213.8202880288029,288.8284828482848, 304.6539740869566
20/09/2017,282.0,213.8202880288029,286.79447944794475, 302.5085235652175
21/09/2017,257.0,213.8202880288029,261.3694369436943, 275.69039204347837
22/09/2017,264.0,213.8202880288029,268.4884488448845, 283.19946886956535
23/09/2017,285.93,213.8202880288029,290.79129612961293, 306.72433384043495
24/09/2017,282.0,213.8202880288029,286.79447944794475, 302.50852356521756
25/09/2017,294.42,213.8202880288029,299.4256405640564, 315.83177130521756
26/09/2017,287.9,213.8202880288029,292.79478947894785, 308.8376026043479
27/09/2017,309.74,224.83177517751778,315.00610661066105, 332.2659223017393
28/09/2017,302.44,224.83177517751778,307.5819941994199, 324.4350278973915
29/09/2017,292.22,224.83177517751778,297.18823682368236, 313.47177573130455
30/09/2017,304.36,224.83177517751778,309.5346374637464, 326.4946603982611
1/10/2017,303.95,224.83177517751778,309.1176667666766, 326.05484304130454
2/10/2017,296.5,224.83177517751778,301.54100410041, 318.0630398478263
3/10/2017,292.48,224.83177517751778,297.45265726572654, 313.7506842991307
4/10/2017,291.99,224.83177517751778,296.95432643264326, 313.22504892130456
5/10/2017,294.81,224.83177517751778,299.8222712271227, 316.25013415695673
6/10/2017,310.8,225.60120012001204,316.08412841284127, 333.4030110782611
7/10/2017,311.01,225.75363336333635,316.29769876987694, 333.6282833830437
8/10/2017,311.07,225.79718571857188,316.35871887188716, 333.6926468986959
9/10/2017,297.19,225.79718571857188,302.24273527352733, 318.8032202778263
10/10/2017,298.64,225.79718571857188,303.7173877387738, 320.3586719060872
11/10/2017,304.01,225.79718571857188,309.17868686868684, 326.1192065569568
12/10/2017,303.99,225.79718571857188,309.15834683468347, 326.0977520517394
13/10/2017,337.96,245.315899589959,343.70589458945886, 362.53822916347855
14/10/2017,342.0,248.24842484248427,347.81458145814577, 366.8720392173916
15/10/2017,337.96,248.24842484248427,343.70589458945886, 362.53822916347855
16/10/2017,335.19,248.24842484248427,340.88879987998797, 359.56678019086985
17/10/2017,315.19,248.24842484248427,320.54876587658765, 338.1122749734785
18/10/2017,309.7,248.24842484248427,314.9654265426542, 332.2230132913046
19/10/2017,308.66,248.24842484248427,313.90774477447746, 331.1073790200003
20/10/2017,304.51,248.24842484248427,309.68718771877184, 326.65556918739156
21/10/2017,298.94,248.24842484248427,304.02248824882486, 320.6804894843481
22/10/2017,293.79,248.24842484248427,298.7849294929493, 315.15595439086985
23/10/2017,281.09,248.24842484248427,285.86900790079005, 301.53234357782634
24/10/2017,297.38,248.24842484248427,302.43596559655964, 319.0070380773916
25/10/2017,294.49,248.24842484248427,299.4968306830683, 315.9068620734786
26/10/2017,294.71,248.24842484248427,299.72057105710564, 316.14286163086985
27/10/2017,296.33,248.24842484248427,301.3681138113811, 317.88067655347857
28/10/2017,291.87,248.24842484248427,296.8322862286228, 313.0963218900003
29/10/2017,305.0,248.24842484248427,310.1855185518552, 327.1812045652177
30/10/2017,307.25,248.24842484248427,312.4737723772377, 329.5948364021742
31/10/2017,304.9,248.24842484248427,310.0838183818381, 327.07393203913074
1/11/2017,287.01,248.24842484248427,291.8896579657965, 307.8828771221742
2/11/2017,283.12,248.24842484248427,287.9335213521352, 303.7099758573916
3/11/2017,304.08,248.24842484248427,309.2498769876987, 326.1942973252177
4/11/2017,298.04,248.24842484248427,303.10718671867187, 319.71503674956557
5/11/2017,295.53,248.24842484248427,300.55451245124505, 317.0224963447829
6/11/2017,297.97,248.24842484248427,303.03599659965994, 319.6399459813047
7/11/2017,291.78,248.24842484248427,296.7407560756075, 312.99977661652207
8/11/2017,303.02,248.24842484248427,308.1718551855185, 325.057208548696
9/11/2017,317.87,248.24842484248427,323.2743304330433, 340.9871786726091
10/11/2017,293.5,248.24842484248427,298.48999899989997, 314.8448640652178
11/11/2017,310.02,248.24842484248427,315.2908670867086, 332.56628537478304
12/11/2017,305.24,248.24842484248427,310.42959895989594, 327.43865862782656
13/11/2017,312.99,248.24842484248427,318.3113621362136, 335.7522793995657
14/11/2017,335.61,248.24842484248427,341.3159405940594, 360.0173248004353
15/11/2017,331.33,248.24842484248427,336.96317331733167, 355.42606068391353
16/11/2017,331.49,248.24842484248427,337.1258935893589, 355.59769672565267
17/11/2017,331.23,248.24842484248427,336.8614731473147, 355.3187881578266
18/11/2017,346.66,251.63099109910996,352.5538093809381, 371.870938933044
19/11/2017,354.15,257.06777677767775,360.17115211521144, 379.905651136957
20/11/2017,367.42,266.7001060106011,373.6667646764676, 394.1407153486962
21/11/2017,362.12,266.7001060106011,368.2766556655665, 388.4552714660875
22/11/2017,380.65,276.303400340034,387.1216971697169, 408.3328705500005
23/11/2017,405.0,293.978397839784,411.88568856885684, 434.4537306521745
24/11/2017,469.0,340.43424342434247,476.9737973797379, 503.10814734782673
25/11/2017,461.82,340.43424342434247,469.6717251725172, 495.40597997478324
26/11/2017,462.84,340.43424342434247,470.7090669066906, 496.5001597408702
27/11/2017,472.31,342.83688168816883,480.3400730073007, 506.658867961305
28/11/2017,466.17,342.83688168816883,474.0956825682568, 500.0723348595659
29/11/2017,421.7,342.83688168816883,428.8696169616961, 452.36824250869626
30/11/2017,427.43,342.83688168816883,434.69703670367034, 458.5149582534789
